ScanID,EchoTime,RepetitionTime,InversionTime
sub-OAS30334_ses-d0000_T2w,0.455,3.2,
sub-OAS30245_ses-d0506_T2w,0.455,3.2,
sub-OAS30245_ses-d0506_run-02_T1w,0.00316,2.4,1.0
sub-OAS30979_ses-d0051_T2w,0.455,3.2,
sub-OAS30979_ses-d0051_T1w,0.00316,2.4,1.0
sub-OAS30102_ses-d0024_FLAIR,0.091,9.0,2.5
sub-OAS30102_ses-d0024_T1w,0.00295,2.3,0.9
sub-OAS30525_ses-d3407_FLAIR,0.091,9.0,2.5
sub-OAS30525_ses-d3407_T1w,0.00295,2.3,0.9
sub-OAS30331_ses-d4694_T2w,0.455,3.2,
sub-OAS30331_ses-d4694_T1w,0.00316,2.4,1.0
sub-OAS31318_sess-d0156_T1w,0.00295,2.3,0.9
sub-OAS30055_sess-d0065_FLAIR,0.091,9.0,2.5
sub-OAS30055_sess-d0065_T1w,0.00295,2.3,0.9
sub-OAS30919_sess-d5473_FLAIR,0.394,5.0,
sub-OAS30919_sess-d5473_T2w,0.567,3.2,
sub-OAS30919_sess-d5473_run-02_T1w,0.00275,2.4,
sub-OAS30072_ses-d1379_T2w,0.455,3.2,
sub-OAS30072_ses-d1379_run-02_T1w,0.00316,2.4,1.0
sub-OAS30588_ses-d1637_T2w,0.455,3.2,
sub-OAS30588_ses-d1637_run-02_T1w,0.00316,2.4,1.0
sub-OAS30248_sess-d2017_T1w,0.00295,2.3,0.9
sub-OAS30248_sess-d2017_FLAIR,0.091,9.0,2.5
sub-OAS30066_ses-d0524_T1w,0.00316,2.4,1.0
sub-OAS30066_ses-d0524_T2w,0.455,3.2,
sub-OAS31196_sess-d0135_T1w,0.00295,2.3,0.9
sub-OAS31196_sess-d0135_FLAIR,0.091,9.0,2.5
sub-OAS30846_sess-d1136_FLAIR,0.091,9.0,2.5
sub-OAS30846_sess-d1136_T1w,0.00295,2.3,0.9
sub-OAS30916_ses-d0172_T1w,0.00316,2.4,1.0
sub-OAS30916_ses-d0172_T2w,0.455,3.2,
sub-OAS30471_ses-d0560_run-02_T1w,0.00316,2.4,1.0
sub-OAS30471_ses-d0560_T2w,0.455,3.2,
sub-OAS30959_sess-d4632_T1w,0.00295,2.3,0.9
sub-OAS31028_ses-d0058_T1w,0.00316,2.4,1.0
sub-OAS31028_ses-d0058_T2w,0.455,3.2,
sub-OAS30193_ses-d0043_T2w,0.455,3.2,
sub-OAS30193_ses-d0043_run-02_T1w,0.00316,2.4,1.0
sub-OAS30794_ses-d5548_T1w,0.00295,2.3,0.9
sub-OAS30794_ses-d5548_FLAIR,0.091,9.0,2.5
sub-OAS31334_sess-d0088_T1w,0.00295,2.3,0.9
sub-OAS31334_sess-d0088_FLAIR,0.091,9.0,2.5
sub-OAS30306_ses-d0028_T2w,0.455,3.2,
sub-OAS30306_ses-d0028_T1w,0.00316,2.4,1.0
sub-OAS30034_ses-d0044_T2w,0.455,3.2,
sub-OAS30034_ses-d0044_FLAIR,0.076,9.0,2.5
sub-OAS30034_ses-d0044_T1w,0.00316,2.4,1.0
sub-OAS30399_ses-d2293_T2w,0.455,3.2,
sub-OAS30399_ses-d2293_T1w,0.00316,2.4,1.0
sub-OAS30127_sess-d2279_run-02_T1w,0.00295,2.3,0.9
sub-OAS30127_sess-d2279_run-02_T2w,0.564,3.2,
sub-OAS30127_sess-d2279_run-02_FLAIR,0.091,9.0,2.5
sub-OAS30007_ses-d1641_T1w,0.00316,2.4,1.0
sub-OAS30007_ses-d1641_T2w,0.455,3.2,
sub-OAS30464_sess-d4293_T1w,0.00295,2.3,
sub-OAS30534_ses-d3728_FLAIR,0.091,9.0,2.5
sub-OAS30534_ses-d3728_T1w,0.00295,2.3,0.9
sub-OAS31415_sess-d0070_FLAIR,0.091,9.0,2.5
sub-OAS31415_sess-d0070_T1w,0.00295,2.3,0.9
sub-OAS31024_ses-d1057_run-02_T1w,0.00316,2.4,1.0
sub-OAS31024_ses-d1057_T2w,0.455,3.2,
sub-OAS30787_ses-d5139_T1w,0.00316,2.4,1.0
sub-OAS30787_ses-d5139_T2w,0.455,3.2,
sub-OAS30441_ses-d0053_T1w,0.00316,2.4,1.0
sub-OAS30441_ses-d0053_T2w,0.455,3.2,
sub-OAS30323_ses-d0836_T1w,0.00316,2.4,1.0
sub-OAS30323_ses-d0836_T2w,0.455,3.2,
sub-OAS31022_ses-d0089_T1w,0.00295,2.3,0.9
sub-OAS31022_ses-d0089_FLAIR,0.091,9.0,2.5
sub-OAS30099_ses-d0032_T1w,0.00316,2.4,1.0
sub-OAS30099_ses-d0032_T2w,0.455,3.2,
sub-OAS31068_ses-d3484_T1w,0.00295,2.3,0.9
sub-OAS31068_ses-d3484_FLAIR,0.091,9.0,2.5
sub-OAS30908_ses-d0617_T2w,0.455,3.2,
sub-OAS30213_ses-d0041_T1w,0.00295,2.3,0.9
sub-OAS30852_ses-d3983_T2w,0.455,3.2,
sub-OAS30852_ses-d3983_run-02_T1w,0.00316,2.4,1.0
sub-OAS30293_ses-d0056_T1w,0.00316,2.4,1.0
sub-OAS30293_ses-d0056_T2w,0.455,3.2,
sub-OAS30293_ses-d0056_FLAIR,0.076,9.0,2.5
sub-OAS30337_ses-d0064_FLAIR,0.076,9.0,2.5
sub-OAS30337_ses-d0064_T1w,0.00316,2.4,1.0
sub-OAS30337_ses-d0064_T2w,0.455,3.2,
sub-OAS30393_ses-d7726_run-02_T1w,0.00316,2.4,1.0
sub-OAS30393_ses-d7726_T2w,0.455,3.2,
sub-OAS30603_ses-d0811_T1w,0.00316,2.4,1.0
sub-OAS30603_ses-d0811_T2w,0.455,3.2,
sub-OAS31108_ses-d4795_run-02_T1w,0.00316,2.4,1.0
sub-OAS31108_ses-d4795_T2w,0.455,3.2,
sub-OAS30174_ses-d0582_run-02_T1w,0.00316,2.4,1.0
sub-OAS30174_ses-d0582_T2w,0.455,3.2,
sub-OAS30080_sess-d2281_T1w,0.00295,2.3,
sub-OAS30080_sess-d2281_T2w,0.564,3.2,
sub-OAS30080_sess-d2281_FLAIR,0.091,9.0,
sub-OAS30558_ses-d2148_run-02_T1w,0.00316,2.4,1.0
sub-OAS30558_ses-d2148_FLAIR,0.076,9.0,2.5
sub-OAS30558_ses-d2148_T2w,0.455,3.2,
sub-OAS30443_ses-d0162_T1w,0.00296,1.9,1.1
sub-OAS30050_ses-d0110_T1w,0.00316,2.4,1.0
